,New_NO
0,restaurants
3,quiet markets
8,restaurants old
11,restaurants
12,old
13,restaurants old
15,restaurants food
17,transportation
19,restaurants
20,quiet
22,food old
24,restaurants food far
28,quiet
29,restaurants
37,restaurants restaurants
39,food
41,quiet
42,restaurants old
47,food
49,quiet food
52,restaurants food
59,restaurants restaurants traffic
62,quiet restaurants
63,restaurants
68,restaurants
71,far
73,markets transportation
74,restaurants
75,restaurants
77,restaurants
87,restaurants
93,restaurants
97,old
98,quiet restaurants
99,old restaurants
104,restaurants
107,restaurants
111,quiet
122,restaurants markets
129,restaurants markets
130,quiet markets safe
131,restaurants
137,restaurants
138,restaurants
141,restaurants
145,restaurants
146,food
148,markets
150,quiet traffic
155,restaurants
158,restaurants
163,transportation
164,restaurants
166,food food
170,old restaurants
171,food
174,food
175,old restaurants
177,old
178,restaurants
179,restaurants
182,restaurants food
186,quiet
190,quiet
191,restaurants
193,food
199,restaurants
200,food markets old restaurants
201,food
204,quiet
209,restaurants
219,restaurants
221,food restaurants
222,restaurants
223,restaurants
225,restaurants quiet
227,restaurants
230,quiet restaurants
233,restaurants
234,quiet restaurants
240,quiet
241,restaurants
242,restaurants
244,restaurants
248,traffic
254,restaurants food food restaurants
256,food
260,restaurants
264,restaurants
266,restaurants
269,safe
270,restaurants
271,quiet
272,restaurants
275,restaurants
277,restaurants
279,restaurants
281,quiet
284,loud
297,old
299,quiet
300,quiet
302,restaurants
304,restaurants
310,quiet restaurants
313,restaurants
314,restaurants food
316,markets restaurants
318,transportation
319,traffic restaurants
324,old old
325,safe
335,quiet
339,old
341,safe
343,restaurants quiet
344,old old
345,old
346,restaurants
355,safe
358,far
361,far
362,restaurants
363,quiet
364,quiet
366,quiet
370,quiet
375,food
386,quiet restaurants food restaurants markets restaurants old
387,restaurants old
389,restaurants
390,restaurants
392,safe old old
396,restaurants
399,quiet
401,quiet
405,quiet restaurants
409,restaurants
411,quiet
412,quiet restaurants
417,restaurants
422,transportation
427,quiet
430,old
432,restaurants
441,quiet
442,quiet restaurants
444,old
446,quiet
453,quiet old food restaurants
460,quiet
461,restaurants
467,food quiet
470,quiet
473,quiet
474,quiet
476,quiet restaurants
477,restaurants
481,old old
483,restaurants
485,restaurants
491,restaurants food
493,food
494,markets
495,quiet restaurants
497,restaurants quiet
500,restaurants
502,quiet
505,restaurants
506,quiet far safe
511,restaurants markets
512,quiet
516,restaurants
525,food food
527,restaurants
531,restaurants
547,quiet restaurants
552,far
554,safe quiet
558,restaurants
561,restaurants
562,markets
564,quiet
571,food
576,restaurants far
581,restaurants
584,safe
585,restaurants
589,restaurants
590,safe
594,quiet restaurants
598,quiet
601,food old
607,restaurants
609,food
610,quiet
619,quiet
622,restaurants
624,restaurants
625,quiet
631,safe
633,quiet
634,safe restaurants
635,restaurants restaurants
641,restaurants restaurants
647,markets
649,restaurants
654,restaurants
655,restaurants
659,restaurants
660,safe restaurants
662,restaurants
664,restaurants
672,restaurants quiet
675,restaurants
689,safe food
691,restaurants
693,restaurants food restaurants
694,restaurants quiet
700,markets
703,restaurants
707,old restaurants
713,quiet restaurants
714,quiet
717,food
724,quiet
725,food
727,quiet
728,quiet
732,restaurants
736,quiet
746,restaurants
747,restaurants
748,food
749,food restaurants
753,safe quiet
756,restaurants
760,restaurants
773,restaurants food
775,restaurants
777,restaurants
778,restaurants
780,safe quiet
781,quiet
783,food
787,quiet safe
790,restaurants
794,restaurants
804,restaurants
809,restaurants
810,restaurants food
818,quiet restaurants
820,restaurants restaurants
822,restaurants
827,restaurants
828,restaurants
829,quiet restaurants
830,quiet
831,restaurants food
832,restaurants
843,safe
852,restaurants
856,restaurants
859,food
860,quiet
865,restaurants
869,quiet restaurants
871,restaurants
874,food
883,traffic
892,restaurants
894,quiet
899,restaurants
902,safe restaurants
906,quiet old
910,restaurants
911,quiet restaurants
922,restaurants food
923,safe
924,restaurants safe
925,food restaurants
928,restaurants
932,quiet
940,markets
948,restaurants
949,quiet
956,restaurants restaurants restaurants
964,restaurants
968,quiet
970,quiet
975,quiet restaurants quiet
979,restaurants
980,restaurants
981,food restaurants
985,quiet
986,safe
989,restaurants
991,safe quiet
992,quiet restaurants restaurants
1003,quiet
1007,quiet
1009,quiet
1010,safe
1014,restaurants
1019,restaurants
1022,quiet
1034,old
1039,markets restaurants
1042,restaurants
1043,restaurants
1046,safe quiet
1048,safe
1053,restaurants
1055,quiet restaurants safe
1056,quiet
1057,restaurants
1063,quiet
1067,restaurants food
1069,restaurants
1070,safe restaurants
1072,restaurants food
1081,old far
1084,quiet safe
1085,safe
1091,restaurants
1098,quiet restaurants
1101,restaurants
1104,restaurants old
1108,quiet
1112,safe
1115,restaurants
1117,restaurants
1118,food markets
1123,quiet
1126,safe restaurants food restaurants
1133,safe
1138,restaurants restaurants
1144,markets
1147,quiet
1148,markets restaurants
1149,safe
1153,safe restaurants
1156,restaurants
1158,restaurants
1161,food restaurants
1162,restaurants
1163,restaurants
1164,quiet quiet
1168,restaurants restaurants
1170,restaurants
1171,food
